ticket_id,customer_id,created_at,text,category,channel,priority,customer_tier,product
TKT-100485,CUST-5945,2025-08-23 17:50:52,I need assistance with invoice incorrect amount. I've tried multiple times but no luck.,Billing,Email,High,Basic,Product B
TKT-100271,CUST-5945,2025-08-23 19:55:21,"Hello, I'm having an issue with account locked after failed login. I've already contacted support before about this.",Account,Chat,High,Free,Service Y
TKT-100378,CUST-8912,2025-08-24 11:44:28,Can someone help me with want to return product. This is the second time this has happened.,Refund,Chat,Medium,Basic,Product A
TKT-100441,CUST-6167,2025-08-24 21:37:01,I'm experiencing a problem with product defective out of box. Can you please look into this?,Product,Web Form,High,Enterprise,Product B
TKT-100444,CUST-6924,2025-08-25 05:22:15,"Hi, I need help with refund taking too long. This is affecting my work.",Refund,Phone,Medium,Premium,Product B
TKT-100340,CUST-5135,2025-08-25 07:26:31,"Hi, I need help with features not loading properly. I've tried multiple times but no luck.",Technical,Phone,High,Enterprise,Product D
TKT-100465,CUST-9165,2025-08-26 08:36:50,I'm writing because mobile app not syncing. This is the second time this has happened.,Technical,Phone,Critical,Free,Product C
TKT-100470,CUST-8786,2025-08-26 10:05:42,"Hi, I need help with delivery to wrong address. Can you please look into this? I'm really frustrated about this.",Delivery,Chat,High,Free,Product B
TKT-100125,CUST-7843,2025-08-27 01:57:58,I need assistance with subscription auto-renewed unwanted. I need this resolved soon.,Billing,Phone,Low,Enterprise,Product A
TKT-100147,CUST-9647,2025-08-27 03:05:58,There's an issue with features not loading properly. Can you please look into this?,Technical,Web Form,Low,Premium,Product B
TKT-100101,CUST-2035,2025-08-28 05:06:33,"Hello, I'm having an issue with product not as described. I've already contacted support before about this.",Product,Web Form,High,Enterprise,Product A
TKT-100315,CUST-2705,2025-08-29 12:53:46,I need assistance with product not as described. I've tried multiple times but no luck.,Product,Web Form,Medium,Premium,Service Y
TKT-100443,CUST-8490,2025-08-29 13:40:24,I'm writing because tracking number not working. I've tried multiple times but no luck.,Delivery,Email,Critical,Premium,Service Y
TKT-100097,CUST-3877,2025-08-29 17:08:14,There's an issue with missing items from order. I need this resolved soon. I'm really disappointed about this.,Delivery,Chat,Medium,Premium,Service X
TKT-100352,CUST-9700,2025-08-30 11:58:33,I'm experiencing a problem with mobile app not syncing. This is the second time this has happened.,Technical,Chat,Low,Free,Service Y
TKT-100037,CUST-4228,2025-08-31 16:45:09,I'm writing because cannot reset password. Can you please look into this?,Account,Phone,Critical,Free,Service Y
TKT-100223,CUST-1149,2025-09-01 10:35:05,There's an issue with promo code not applied. I've tried multiple times but no luck. I'm really frustrated about this.,Billing,Chat,Critical,Premium,Product A
TKT-100464,CUST-8183,2025-09-01 15:24:47,"Hello, I'm having an issue with product defective out of box. I've already contacted support before about this. This is immediately!",Product,Email,Medium,Free,Product B
TKT-100321,CUST-9849,2025-09-02 08:21:48,Can someone help me with wrong item received. I've already contacted support before about this.,Delivery,Phone,High,Premium,Product B
TKT-100348,CUST-8736,2025-09-02 08:53:13,I need assistance with refund to wrong payment method. This has been happening for the past few days.,Refund,Chat,Low,Enterprise,Service X
TKT-100123,CUST-5186,2025-09-02 13:39:38,I'm writing because error message when saving. I've tried multiple times but no luck.,Technical,Phone,High,Free,Product A
TKT-100326,CUST-4727,2025-09-03 19:17:05,Can someone help me with restocking fee too high. This is the second time this has happened. I'm really terrible about this.,Refund,Email,Critical,Enterprise,Service X
TKT-100164,CUST-3852,2025-09-04 09:32:22,I'm writing because product not as described. I've tried multiple times but no luck.,Product,Phone,Medium,Free,Product B
TKT-100403,CUST-6851,2025-09-04 20:00:35,Can someone help me with refund not received. This is affecting my work.,Billing,Chat,Medium,Free,Product C
TKT-100234,CUST-3527,2025-09-05 22:33:05,I'm writing because wrong item received. I've already contacted support before about this.,Delivery,Web Form,High,Premium,Product A
TKT-100415,CUST-2938,2025-09-06 14:01:25,I need assistance with partial refund received. I've already contacted support before about this. This is immediately!,Refund,Chat,Critical,Premium,Service Y
TKT-100316,CUST-6500,2025-09-06 17:07:38,I'm writing because damaged product arrived. I've already contacted support before about this. I'm really frustrated about this.,Delivery,Web Form,Low,Premium,Product B
TKT-100371,CUST-9166,2025-09-06 21:33:03,"Hi, I need help with want to change email address. This is the second time this has happened.",Account,Web Form,High,Free,Product D
TKT-100462,CUST-5454,2025-09-06 23:11:19,I'm writing because refund taking too long. Can you please look into this?,Refund,Phone,High,Enterprise,Product B
TKT-100466,CUST-4148,2025-09-07 03:33:59,Can someone help me with app crashes on startup. I've tried multiple times but no luck. This is emergency!,Technical,Phone,Critical,Free,Product A
TKT-100075,CUST-1423,2025-09-07 04:30:41,I need assistance with promo code not applied. This is affecting my work.,Billing,Email,Medium,Free,Service Y
TKT-100071,CUST-7693,2025-09-07 07:43:57,"Hello, I'm having an issue with features not loading properly. This has been happening for the past few days.",Technical,Web Form,Critical,Premium,Product A
TKT-100121,CUST-7785,2025-09-07 09:26:05,I need assistance with cannot delete account. I need this resolved soon.,Account,Phone,Medium,Free,Product C
TKT-100394,CUST-9736,2025-09-07 12:44:06,I'm writing because unexpected charge on credit card. Can you please look into this?,Billing,Email,Low,Basic,Service Y
TKT-100235,CUST-3170,2025-09-09 04:22:15,I'm experiencing a problem with tracking number not working. This has been happening for the past few days.,Delivery,Email,Medium,Enterprise,Product D
TKT-100438,CUST-3924,2025-09-09 10:48:12,"Hi, I need help with restocking fee too high. Can you please look into this?",Refund,Web Form,High,Premium,Product B
TKT-100001,CUST-9928,2025-09-09 13:45:58,There's an issue with app crashes on startup. I've already contacted support before about this.,Technical,Web Form,Medium,Enterprise,Service X
TKT-100455,CUST-2702,2025-09-09 21:47:41,I'm writing because two-factor authentication issues. This has been happening for the past few days. I'm really terrible about this.,Account,Phone,Medium,Free,Service Y
TKT-100322,CUST-1893,2025-09-09 23:21:34,Can someone help me with two-factor authentication issues. I've tried multiple times but no luck.,Account,Phone,Low,Enterprise,Product A
TKT-100421,CUST-9246,2025-09-10 01:00:45,I'm writing because two-factor authentication issues. Can you please look into this?,Account,Email,Low,Enterprise,Service Y
TKT-100219,CUST-7073,2025-09-10 10:59:25,I'm experiencing a problem with return label not working. I've tried multiple times but no luck.,Refund,Phone,Critical,Free,Service X
TKT-100192,CUST-3252,2025-09-10 17:51:28,There's an issue with missing items from order. This is the second time this has happened.,Delivery,Email,Medium,Enterprise,Service Y
